Organism_Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP,species
Mycobacterium tuberculosis,W146,20829,SAMN04023334,PRJNA294360,Terrabacteria group,Actinobacteria,GCA_001663055.1,4.23526,65.4,-,LJBH01,379,4320,4006,2016/06/14,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/055/GCF_001663055.1_ASM166305v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/055/GCA_001663055.1_ASM166305v1,mtb
Mycobacterium tuberculosis,1337842.4,20829,SAMN04634162,PRJNA305922,Terrabacteria group,Actinobacteria,GCA_001673125.1,4.3961,65.5,-,LZLD01,355,4467,4052,2016/06/17,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/673/125/GCF_001673125.1_ASM167312v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/673/125/GCA_001673125.1_ASM167312v1,mtb
Mycobacterium tuberculosis,1337782.3,20829,SAMN04634165,PRJNA305922,Terrabacteria group,Actinobacteria,GCA_001673395.1,4.3825199999999995,65.5,-,LZLT01,368,4483,4057,2016/06/17,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/673/395/GCF_001673395.1_ASM167339v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/673/395/GCA_001673395.1_ASM167339v1,mtb
Mycobacterium tuberculosis,M78,20829,SAMN05187972,PRJNA317032,Terrabacteria group,Actinobacteria,GCA_001720305.1,4.370080000000001,65.6,-,MCQY01,120,4304,4092,2016/09/05,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/720/305/GCF_001720305.1_ASM172030v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/720/305/GCA_001720305.1_ASM172030v1,mtb
Mycobacterium tuberculosis,M67,20829,SAMN04599205,PRJNA317032,Terrabacteria group,Actinobacteria,GCA_001720315.1,4.37381,65.6,-,MCQX01,112,4310,4108,2016/09/05,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/720/315/GCF_001720315.1_ASM172031v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/720/315/GCA_001720315.1_ASM172031v1,mtb
Mycobacterium tuberculosis,01-R1463,20829,SAMN05830624,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001757405.1,4.31949,65.6,-,MKHQ01,11,4218,4018,2016/10/11,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/757/405/GCF_001757405.1_ASM175740v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/405/GCA_001757405.1_ASM175740v1,mtb
Mycobacterium tuberculosis,01-R0904,20829,SAMN05825228,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001757445.1,4.3894,65.6,-,MKFW01,15,4267,4088,2016/10/11,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/757/445/GCF_001757445.1_ASM175744v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/757/445/GCA_001757445.1_ASM175744v1,mtb
Mycobacterium tuberculosis,01-R0712,20829,SAMN05792585,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001816205.1,4.39783,65.6,-,MJUS01,5,4278,4103,2016/10/21,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/816/205/GCF_001816205.1_ASM181620v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/816/205/GCA_001816205.1_ASM181620v1,mtb
Mycobacterium tuberculosis,I0000203-5,20829,SAMN05918958,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001839705.1,4.39729,65.6,-,MMEK01,14,4267,4097,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/839/705/GCF_001839705.1_ASM183970v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/839/705/GCA_001839705.1_ASM183970v1,mtb
Mycobacterium tuberculosis,I0000673-9,20829,SAMN05918959,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001839725.1,4.39414,65.6,-,MMEJ01,9,4277,4103,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/839/725/GCF_001839725.1_ASM183972v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/839/725/GCA_001839725.1_ASM183972v1,mtb
Mycobacterium tuberculosis,I0001390-9,20829,SAMN05918957,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001839735.1,4.4065,65.6,-,MMEL01,27,4296,4116,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/839/735/GCF_001839735.1_ASM183973v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/839/735/GCA_001839735.1_ASM183973v1,mtb
Mycobacterium tuberculosis,I0000918-8,20829,SAMN05918956,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001839785.1,4.40279,65.6,-,MMEM01,25,4281,4096,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/839/785/GCF_001839785.1_ASM183978v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/839/785/GCA_001839785.1_ASM183978v1,mtb
Mycobacterium tuberculosis,I0001262-0,20829,SAMN05918954,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001839815.1,4.39468,65.6,-,MMEO01,2,4269,4103,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/839/815/GCF_001839815.1_ASM183981v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/839/815/GCA_001839815.1_ASM183981v1,mtb
Mycobacterium tuberculosis,I0001269-5,20829,SAMN05918953,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001839845.1,4.38474,65.6,-,MMEP01,15,4260,4093,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/839/845/GCF_001839845.1_ASM183984v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/839/845/GCA_001839845.1_ASM183984v1,mtb
Mycobacterium tuberculosis,I0001324-8,20829,SAMN05918952,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001839865.1,4.39318,65.6,-,MMEQ01,9,4292,4115,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/839/865/GCF_001839865.1_ASM183986v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/839/865/GCA_001839865.1_ASM183986v1,mtb
Mycobacterium tuberculosis,I0000729-9,20829,SAMN05918950,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001839895.1,4.40015,65.6,-,MMES01,5,4282,4116,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/839/895/GCF_001839895.1_ASM183989v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/839/895/GCA_001839895.1_ASM183989v1,mtb
Mycobacterium tuberculosis,I0000721-6,20829,SAMN05918949,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001839905.1,4.40714,65.6,-,MMET01,11,4285,4113,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/839/905/GCF_001839905.1_ASM183990v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/839/905/GCA_001839905.1_ASM183990v1,mtb
Mycobacterium tuberculosis,I0000737-2,20829,SAMN05918948,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001839945.1,4.4067,65.6,-,MMEU01,9,4278,4113,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/839/945/GCF_001839945.1_ASM183994v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/839/945/GCA_001839945.1_ASM183994v1,mtb
Mycobacterium tuberculosis,I0001033-5,20829,SAMN05918947,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001839965.1,4.41541,65.6,-,MMEV01,13,4299,4122,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/839/965/GCF_001839965.1_ASM183996v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/839/965/GCA_001839965.1_ASM183996v1,mtb
Mycobacterium tuberculosis,I0000671-3,20829,SAMN05918945,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840005.1,4.40839,65.6,-,MMEX01,39,4305,4113,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/005/GCF_001840005.1_ASM184000v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/005/GCA_001840005.1_ASM184000v1,mtb
Mycobacterium tuberculosis,C0000085-2,20829,SAMN05918943,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840055.1,4.402880000000001,65.6,-,MMEZ01,9,4282,4113,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/055/GCF_001840055.1_ASM184005v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/055/GCA_001840055.1_ASM184005v1,mtb
Mycobacterium tuberculosis,I0000693-7,20829,SAMN05918939,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840125.1,4.38497,65.6,-,MMFD01,11,4265,4095,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/125/GCF_001840125.1_ASM184012v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/125/GCA_001840125.1_ASM184012v1,mtb
Mycobacterium tuberculosis,I0000610-1,20829,SAMN05918937,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840145.1,4.39246,65.6,-,MMFF01,9,4275,4107,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/145/GCF_001840145.1_ASM184014v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/145/GCA_001840145.1_ASM184014v1,mtb
Mycobacterium tuberculosis,I0000507-9,20829,SAMN05918938,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840155.1,4.38389,65.6,-,MMFE01,5,4251,4092,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/155/GCF_001840155.1_ASM184015v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/155/GCA_001840155.1_ASM184015v1,mtb
Mycobacterium tuberculosis,I0000374-4,20829,SAMN05918936,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840165.1,4.40814,65.6,-,MMFG01,8,4281,4117,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/165/GCF_001840165.1_ASM184016v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/165/GCA_001840165.1_ASM184016v1,mtb
Mycobacterium tuberculosis,I0000319-9,20829,SAMN05918934,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840225.1,4.40216,65.6,-,MMFI01,5,4272,4101,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/225/GCF_001840225.1_ASM184022v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/225/GCA_001840225.1_ASM184022v1,mtb
Mycobacterium tuberculosis,C0000086-0,20829,SAMN05918933,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840235.1,4.40552,65.6,-,MMFJ01,25,4289,4111,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/235/GCF_001840235.1_ASM184023v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/235/GCA_001840235.1_ASM184023v1,mtb
Mycobacterium tuberculosis,I0000489-0,20829,SAMN05918932,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840245.1,4.378019999999999,65.6,-,MMFK01,24,4265,4087,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/245/GCF_001840245.1_ASM184024v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/245/GCA_001840245.1_ASM184024v1,mtb
Mycobacterium tuberculosis,I0000389-2,20829,SAMN05918931,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840285.1,4.39979,65.6,-,MMFL01,25,4266,4096,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/285/GCF_001840285.1_ASM184028v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/285/GCA_001840285.1_ASM184028v1,mtb
Mycobacterium tuberculosis,I0000517-8,20829,SAMN05918930,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840305.1,4.39238,65.6,-,MMFM01,11,4271,4099,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/305/GCF_001840305.1_ASM184030v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/305/GCA_001840305.1_ASM184030v1,mtb
Mycobacterium tuberculosis,I0000285-2,20829,SAMN05918929,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840315.1,4.38719,65.6,-,MMFN01,28,4265,4085,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/315/GCF_001840315.1_ASM184031v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/315/GCA_001840315.1_ASM184031v1,mtb
Mycobacterium tuberculosis,I0000250-6,20829,SAMN05918928,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840325.1,4.40373,65.6,-,MMFO01,20,4292,4117,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/325/GCF_001840325.1_ASM184032v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/325/GCA_001840325.1_ASM184032v1,mtb
Mycobacterium tuberculosis,I0000057-5,20829,SAMN05918927,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840365.1,4.38705,65.6,-,MMFP01,9,4271,4110,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/365/GCF_001840365.1_ASM184036v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/365/GCA_001840365.1_ASM184036v1,mtb
Mycobacterium tuberculosis,I0000056-7,20829,SAMN05918925,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840395.1,4.41162,65.6,-,MMFR01,25,4305,4134,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/395/GCF_001840395.1_ASM184039v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/395/GCA_001840395.1_ASM184039v1,mtb
Mycobacterium tuberculosis,I0000031-0,20829,SAMN05918924,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840405.1,4.39311,65.6,-,MMFS01,26,4290,4118,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/405/GCF_001840405.1_ASM184040v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/405/GCA_001840405.1_ASM184040v1,mtb
Mycobacterium tuberculosis,I0000013-8,20829,SAMN05918922,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840465.1,4.39193,65.6,-,MMFU01,12,4262,4096,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/465/GCF_001840465.1_ASM184046v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/465/GCA_001840465.1_ASM184046v1,mtb
Mycobacterium tuberculosis,I0000014-6,20829,SAMN05918921,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840475.1,4.41087,65.6,-,MMFV01,11,4292,4111,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/475/GCF_001840475.1_ASM184047v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/475/GCA_001840475.1_ASM184047v1,mtb
Mycobacterium tuberculosis,I0000021-1,20829,SAMN05918920,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840505.1,4.3981,65.6,-,MMFW01,7,4280,4115,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/505/GCF_001840505.1_ASM184050v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/505/GCA_001840505.1_ASM184050v1,mtb
Mycobacterium tuberculosis,I0000016-1,20829,SAMN05918919,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840515.1,4.395490000000001,65.6,-,MMFX01,26,4274,4097,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/515/GCF_001840515.1_ASM184051v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/515/GCA_001840515.1_ASM184051v1,mtb
Mycobacterium tuberculosis,I0000025-2,20829,SAMN05918918,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840545.1,4.37226,65.6,-,MMFY01,55,4286,4110,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/545/GCF_001840545.1_ASM184054v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/545/GCA_001840545.1_ASM184054v1,mtb
Mycobacterium tuberculosis,I0000010-4,20829,SAMN05918917,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840555.1,4.39835,65.6,-,MMFZ01,42,4285,4100,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/555/GCF_001840555.1_ASM184055v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/555/GCA_001840555.1_ASM184055v1,mtb
Mycobacterium tuberculosis,01-R1632,20829,SAMN05915293,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840575.1,4.3993199999999995,65.6,-,MMGA01,3,4266,4099,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/575/GCF_001840575.1_ASM184057v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/575/GCA_001840575.1_ASM184057v1,mtb
Mycobacterium tuberculosis,01-R1138,20829,SAMN05915292,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840595.1,4.3953,65.6,-,MMGB01,5,4263,4113,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/595/GCF_001840595.1_ASM184059v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/595/GCA_001840595.1_ASM184059v1,mtb
Mycobacterium tuberculosis,02-R0403,20829,SAMN05915291,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840625.1,4.38976,65.6,-,MMGC01,7,4258,4094,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/625/GCF_001840625.1_ASM184062v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/625/GCA_001840625.1_ASM184062v1,mtb
Mycobacterium tuberculosis,01-R1651,20829,SAMN05915290,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840645.1,4.34934,65.6,-,MMGD01,2,4235,4081,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/645/GCF_001840645.1_ASM184064v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/645/GCA_001840645.1_ASM184064v1,mtb
Mycobacterium tuberculosis,02-R0020,20829,SAMN05915289,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840665.1,4.40143,65.6,-,MMGE01,1,4278,4132,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/665/GCF_001840665.1_ASM184066v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/665/GCA_001840665.1_ASM184066v1,mtb
Mycobacterium tuberculosis,01-R0877,20829,SAMN05915288,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840675.1,4.4006300000000005,65.6,-,MMGF01,5,4267,4110,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/675/GCF_001840675.1_ASM184067v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/675/GCA_001840675.1_ASM184067v1,mtb
Mycobacterium tuberculosis,01-04726,20829,SAMN05915287,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840705.1,4.43372,65.6,-,MMGG01,4,4319,4150,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/705/GCF_001840705.1_ASM184070v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/705/GCA_001840705.1_ASM184070v1,mtb
Mycobacterium tuberculosis,00-10219,20829,SAMN05915286,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840725.1,4.37752,65.6,-,MMGH01,3,4238,4085,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/725/GCF_001840725.1_ASM184072v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/725/GCA_001840725.1_ASM184072v1,mtb
Mycobacterium tuberculosis,02-R0196,20829,SAMN05915284,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840745.1,4.39086,65.6,-,MMGJ01,2,4266,4108,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/745/GCF_001840745.1_ASM184074v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/745/GCA_001840745.1_ASM184074v1,mtb
Mycobacterium tuberculosis,00-15489,20829,SAMN05915285,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840755.1,4.3983300000000005,65.6,-,MMGI01,10,4278,4114,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/755/GCF_001840755.1_ASM184075v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/755/GCA_001840755.1_ASM184075v1,mtb
Mycobacterium tuberculosis,01-R1062,20829,SAMN05915283,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840775.1,4.34856,65.6,-,MMGK01,4,4237,4080,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/775/GCF_001840775.1_ASM184077v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/775/GCA_001840775.1_ASM184077v1,mtb
Mycobacterium tuberculosis,02-R0016,20829,SAMN05915282,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840805.1,4.38619,65.6,-,MMGL01,3,4258,4094,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/805/GCF_001840805.1_ASM184080v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/805/GCA_001840805.1_ASM184080v1,mtb
Mycobacterium tuberculosis,01-R1235,20829,SAMN05915281,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840825.1,4.35318,65.6,-,MMGM01,7,4243,4080,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/825/GCF_001840825.1_ASM184082v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/825/GCA_001840825.1_ASM184082v1,mtb
Mycobacterium tuberculosis,01-R1112,20829,SAMN05915280,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840835.1,4.34945,65.6,-,MMGN01,7,4241,4083,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/835/GCF_001840835.1_ASM184083v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/835/GCA_001840835.1_ASM184083v1,mtb
Mycobacterium tuberculosis,01-R1130,20829,SAMN05915279,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840845.1,4.385669999999999,65.6,-,MMGO01,7,4258,4097,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/845/GCF_001840845.1_ASM184084v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/845/GCA_001840845.1_ASM184084v1,mtb
Mycobacterium tuberculosis,03-R0979,20829,SAMN05915278,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840885.1,4.37632,65.6,-,MMGP01,6,4257,4093,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/885/GCF_001840885.1_ASM184088v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/885/GCA_001840885.1_ASM184088v1,mtb
Mycobacterium tuberculosis,02-R1680,20829,SAMN05915277,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840905.1,4.4093800000000005,65.6,-,MMGQ01,6,4286,4120,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/905/GCF_001840905.1_ASM184090v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/905/GCA_001840905.1_ASM184090v1,mtb
Mycobacterium tuberculosis,01-R1302,20829,SAMN05915275,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840925.1,4.363659999999999,65.6,-,MMGS01,4,4256,4089,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/925/GCF_001840925.1_ASM184092v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/925/GCA_001840925.1_ASM184092v1,mtb
Mycobacterium tuberculosis,02-R0898,20829,SAMN05915276,PRJNA343736,Terrabacteria group,Actinobacteria,GCA_001840935.1,4.39048,65.6,-,MMGR01,7,4275,4087,2016/10/25,2017/03/13,Contig,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/840/935/GCF_001840935.1_ASM184093v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/840/935/GCA_001840935.1_ASM184093v1,mtb
